"","long","lat","tract","plot","biomass","biomass.fin","bio.ton","long.1","lat.1","tract.1","plot.1","biomass.1","optional"
"1",120.75236,18.50227,1,1,87.2886409469787,174.577281893957,0.174577281893957,120.75236,18.50227,1,1,87.2886409469787,TRUE
"2",121.00236,18.50227,2,1,162025.733916482,324051.467832965,324.051467832965,121.00236,18.50227,2,1,162025.733916482,TRUE
"3",121.25236,18.50226,3,1,34166.2622660744,68332.5245321488,68.3325245321489,121.25236,18.50226,3,1,34166.2622660744,TRUE
"4",120.75235,18.25227,4,1,6869.56639329387,13739.1327865877,13.7391327865877,120.75235,18.25227,4,1,6869.56639329387,TRUE
"5",121.00235,18.25227,5,1,309.646975913087,619.293951826174,0.619293951826174,121.00235,18.25227,5,1,309.646975913087,TRUE
"6",121.25236,18.25227,6,1,62985.4927725963,125970.985545193,125.970985545193,121.25236,18.25227,6,1,62985.4927725963,TRUE
"7",121.50236,18.25226,7,1,17417.3557238662,34834.7114477323,34.8347114477323,121.50236,18.25226,7,1,17417.3557238662,TRUE
"8",122.00237,18.25225,9,1,5407.16478463489,10814.3295692698,10.8143295692698,122.00237,18.25225,9,1,5407.16478463489,TRUE
"9",122.25237,18.25226,10,1,47428.2162904208,94856.4325808417,94.8564325808417,122.25237,18.25226,10,1,47428.2162904208,TRUE
"10",120.50234,18.00228,11,1,1546.81500750514,3093.63001501029,3.09363001501029,120.50234,18.00228,11,1,1546.81500750514,TRUE
"11",120.75235,18.00227,12,1,3308.50565612363,6617.01131224726,6.61701131224726,120.75235,18.00227,12,1,3308.50565612363,TRUE
"12",121.25235,18.00227,14,1,141127.904245667,282255.808491335,282.255808491335,121.25235,18.00227,14,1,141127.904245667,TRUE
"13",121.50236,18.00226,15,1,90253.9739358711,180507.947871742,180.507947871742,121.50236,18.00226,15,1,90253.9739358711,TRUE
"14",121.75236,18.00226,16,1,3579.98922248729,7159.97844497459,7.15997844497459,121.75236,18.00226,16,1,3579.98922248729,TRUE
"15",122.00236,18.00225,17,1,11236.9975393255,22473.995078651,22.473995078651,122.00236,18.00225,17,1,11236.9975393255,TRUE
"16",120.50234,17.75227,18,1,3877.34627549111,7754.69255098222,7.75469255098222,120.50234,17.75227,18,1,3877.34627549111,TRUE
"17",120.75235,17.75227,19,1,1479.26886554578,2958.53773109156,2.95853773109156,120.75235,17.75227,19,1,1479.26886554578,TRUE
"18",121.25235,17.75227,21,1,20830.6765896006,41661.3531792011,41.6613531792011,121.25235,17.75227,21,1,20830.6765896006,TRUE
"19",121.50235,17.75226,22,1,9329.1691672814,18658.3383345628,18.6583383345628,121.50235,17.75226,22,1,9329.1691672814,TRUE
"20",122.00236,17.75226,24,1,37888.8531318065,75777.706263613,75.777706263613,122.00236,17.75226,24,1,37888.8531318065,TRUE
"21",120.50234,17.50227,25,1,139.441974601869,278.883949203739,0.278883949203739,120.50234,17.50227,25,1,139.441974601869,TRUE
"22",120.75235,17.50227,26,1,5546.36770959866,11092.7354191973,11.0927354191973,120.75235,17.50227,26,1,5546.36770959866,TRUE
"23",121.50235,17.50226,29,1,3372.57099787134,6745.14199574268,6.74514199574268,121.50235,17.50226,29,1,3372.57099787134,TRUE
"24",121.75235,17.50226,30,1,3058.22307613034,6116.44615226068,6.11644615226068,121.75235,17.50226,30,1,3058.22307613034,TRUE
"25",122.00236,17.50226,31,1,63149.6945081768,126299.389016354,126.299389016354,122.00236,17.50226,31,1,63149.6945081768,TRUE
"26",120.50234,17.25227,32,1,5195.97928310198,10391.958566204,10.391958566204,120.50234,17.25227,32,1,5195.97928310198,TRUE
"27",120.75233,17.25227,33,1,1775.18067153474,3550.36134306948,3.55036134306948,120.75233,17.25227,33,1,1775.18067153474,TRUE
"28",121.00234,17.25227,34,1,980.270647983416,1960.54129596683,1.96054129596683,121.00234,17.25227,34,1,980.270647983416,TRUE
"29",121.25234,17.25227,35,1,95159.9511993071,190319.902398614,190.319902398614,121.25234,17.25227,35,1,95159.9511993071,TRUE
"30",122.00235,17.25226,38,1,96024.8570487178,192049.714097436,192.049714097436,122.00235,17.25226,38,1,96024.8570487178,TRUE
"31",122.25236,17.25226,39,1,58009.7787580039,116019.557516008,116.019557516008,122.25236,17.25226,39,1,58009.7787580039,TRUE
"32",120.50233,17.00227,40,1,7349.67871768836,14699.3574353767,14.6993574353767,120.50233,17.00227,40,1,7349.67871768836,TRUE
"33",120.75233,17.00227,41,1,3558.54498215058,7117.08996430116,7.11708996430116,120.75233,17.00227,41,1,3558.54498215058,TRUE
"34",121.00234,17.00226,42,1,115765.209419607,231530.418839213,231.530418839213,121.00234,17.00226,42,1,115765.209419607,TRUE
"35",121.25234,17.00227,43,1,25439.2842050969,50878.5684101939,50.8785684101939,121.25234,17.00227,43,1,25439.2842050969,TRUE
"36",121.50234,17.00227,44,1,6013.37773963246,12026.7554792649,12.0267554792649,121.50234,17.00227,44,1,6013.37773963246,TRUE
"37",122.25235,17.00226,47,1,99979.6930137415,199959.386027483,199.959386027483,122.25235,17.00226,47,1,99979.6930137415,TRUE
"38",120.50233,16.75227,48,1,6722.45665849904,13444.9133169981,13.4449133169981,120.50233,16.75227,48,1,6722.45665849904,TRUE
"39",120.75233,16.75227,49,1,68397.0193280009,136794.038656002,136.794038656002,120.75233,16.75227,49,1,68397.0193280009,TRUE
"40",121.00234,16.75227,50,1,12322.1209023769,24644.2418047538,24.6442418047538,121.00234,16.75227,50,1,12322.1209023769,TRUE
"41",121.25234,16.75226,51,1,177.443796160383,354.887592320765,0.354887592320765,121.25234,16.75226,51,1,177.443796160383,TRUE
"42",121.75234,16.75226,53,1,4111.7710075319,8223.54201506381,8.22354201506381,121.75234,16.75226,53,1,4111.7710075319,TRUE
"43",122.00235,16.75226,54,1,3221.56084820686,6443.12169641373,6.44312169641373,122.00235,16.75226,54,1,3221.56084820686,TRUE
"44",122.25235,16.75225,55,1,42349.7775781614,84699.5551563228,84.6995551563228,122.25235,16.75225,55,1,42349.7775781614,TRUE
"45",120.50233,16.50227,56,1,10335.4624211502,20670.9248423004,20.6709248423004,120.50233,16.50227,56,1,10335.4624211502,TRUE
"46",121.00233,16.50227,58,1,5460.64983861918,10921.2996772384,10.9212996772384,121.00233,16.50227,58,1,5460.64983861918,TRUE
"47",121.50234,16.50226,60,1,1660.33094400136,3320.66188800272,3.32066188800272,121.50234,16.50226,60,1,1660.33094400136,TRUE
"48",121.75234,16.50226,61,1,11430.3332016314,22860.6664032628,22.8606664032628,121.75234,16.50226,61,1,11430.3332016314,TRUE
"49",122.00234,16.50226,62,1,113176.374060704,226352.748121408,226.352748121408,122.00234,16.50226,62,1,113176.374060704,TRUE
"50",120.00232,16.25228,63,1,1077.37093365932,2154.74186731864,2.15474186731864,120.00232,16.25228,63,1,1077.37093365932,TRUE
"51",120.50233,16.25227,64,1,10628.2091495869,21256.4182991737,21.2564182991737,120.50233,16.25227,64,1,10628.2091495869,TRUE
"52",121.00233,16.25227,66,1,8213.00219974428,16426.0043994886,16.4260043994886,121.00233,16.25227,66,1,8213.00219974428,TRUE
"53",121.25233,16.25226,67,1,1447.33424998745,2894.66849997489,2.89466849997489,121.25233,16.25226,67,1,1447.33424998745,TRUE
"54",121.50234,16.25227,68,1,13828.1473047375,27656.2946094751,27.6562946094751,121.50234,16.25227,68,1,13828.1473047375,TRUE
"55",121.75234,16.25226,69,1,25236.4438749,50472.8877498,50.4728877498,121.75234,16.25226,69,1,25236.4438749,TRUE
"56",122.00234,16.25226,70,1,63218.5605197195,126437.121039439,126.437121039439,122.00234,16.25226,70,1,63218.5605197195,TRUE
"57",120.00231,16.00228,71,1,52.2327932777896,104.465586555579,0.104465586555579,120.00231,16.00228,71,1,52.2327932777896,TRUE
"58",120.25232,16.00227,72,1,1911.84594986331,3823.69189972662,3.82369189972662,120.25232,16.00227,72,1,1911.84594986331,TRUE
"59",120.75233,16.00227,74,1,569.906427840649,1139.8128556813,1.1398128556813,120.75233,16.00227,74,1,569.906427840649,TRUE
"60",121.00233,16.00227,75,1,304.627582396232,609.255164792463,0.609255164792463,121.00233,16.00227,75,1,304.627582396232,TRUE
"61",121.25233,16.00226,76,1,86350.7083931936,172701.416786387,172.701416786387,121.25233,16.00226,76,1,86350.7083931936,TRUE
"62",121.50233,16.00226,77,1,46160.0265810922,92320.0531621844,92.3200531621844,121.50233,16.00226,77,1,46160.0265810922,TRUE
"63",120.00231,15.75228,78,1,32374.8830188683,64749.7660377365,64.7497660377365,120.00231,15.75228,78,1,32374.8830188683,TRUE
"64",120.25231,15.75227,79,1,8076.89921182413,16153.7984236483,16.1537984236483,120.25231,15.75227,79,1,8076.89921182413,TRUE
"65",120.75232,15.75227,81,1,56.5076604788991,113.015320957798,0.113015320957798,120.75232,15.75227,81,1,56.5076604788991,TRUE
"66",121.25233,15.75226,83,1,35463.8410693032,70927.6821386065,70.9276821386065,121.25233,15.75226,83,1,35463.8410693032,TRUE
"67",121.50233,15.75226,84,1,14139.4885653366,28278.9771306732,28.2789771306732,121.50233,15.75226,84,1,14139.4885653366,TRUE
"68",120.00231,15.50227,85,1,3622.48107548277,7244.96215096553,7.24496215096553,120.00231,15.50227,85,1,3622.48107548277,TRUE
"69",120.25231,15.50228,86,1,29284.5129441734,58569.0258883468,58.5690258883468,120.25231,15.50228,86,1,29284.5129441734,TRUE
"70",121.25232,15.50226,90,1,907.173072476778,1814.34614495356,1.81434614495356,121.25232,15.50226,90,1,907.173072476778,TRUE
"71",120.50231,15.25228,92,1,3779.32755513503,7558.65511027005,7.55865511027005,120.50231,15.25228,92,1,3779.32755513503,TRUE
"72",121.00232,15.25227,94,1,6575.65730654312,13151.3146130862,13.1513146130862,121.00232,15.25227,94,1,6575.65730654312,TRUE
"73",121.25232,15.25227,95,1,69148.8265373468,138297.653074694,138.297653074694,121.25232,15.25227,95,1,69148.8265373468,TRUE
"74",120.50231,15.00227,97,1,2784.59286483211,5569.18572966422,5.56918572966422,120.50231,15.00227,97,1,2784.59286483211,TRUE
"75",120.75231,15.00227,98,1,6553.21092931238,13106.4218586248,13.1064218586248,120.75231,15.00227,98,1,6553.21092931238,TRUE
"76",121.00232,15.00227,99,1,2219.96105705413,4439.92211410826,4.43992211410826,121.00232,15.00227,99,1,2219.96105705413,TRUE
"77",122.00233,15.00225,102,1,4180.30514922968,8360.61029845936,8.36061029845936,122.00233,15.00225,102,1,4180.30514922968,TRUE
"78",120.50231,14.75227,103,1,202.009967630308,404.019935260615,0.404019935260615,120.50231,14.75227,103,1,202.009967630308,TRUE
"79",121.00231,14.75227,104,1,812.908513962195,1625.81702792439,1.62581702792439,121.00231,14.75227,104,1,812.908513962195,TRUE
"80",122.00232,14.75226,107,1,44136.3388833248,88272.6777666497,88.2726777666497,122.00232,14.75226,107,1,44136.3388833248,TRUE
"81",122.25233,14.75226,108,1,44326.8951046381,88653.7902092762,88.6537902092762,122.25233,14.75226,108,1,44326.8951046381,TRUE
"82",120.5023,14.50227,109,1,25863.5012724775,51727.0025449549,51.7270025449549,120.5023,14.50227,109,1,25863.5012724775,TRUE
"83",121.50232,14.50226,112,1,11669.0723615148,23338.1447230296,23.3381447230296,121.50232,14.50226,112,1,11669.0723615148,TRUE
"84",120.75231,14.25227,113,1,11714.1657750432,23428.3315500863,23.4283315500863,120.75231,14.25227,113,1,11714.1657750432,TRUE
"85",121.00231,14.25227,114,1,4269.50279671324,8539.00559342648,8.53900559342648,121.00231,14.25227,114,1,4269.50279671324,TRUE
"86",121.50231,14.25227,116,1,24525.2054057327,49050.4108114654,49.0504108114654,121.50231,14.25227,116,1,24525.2054057327,TRUE
"87",121.75232,14.25226,117,1,58095.9954745188,116191.990949038,116.191990949038,121.75232,14.25226,117,1,58095.9954745188,TRUE
"88",122.50232,14.25226,118,1,11505.0713311791,23010.1426623581,23.0101426623581,122.50232,14.25226,118,1,11505.0713311791,TRUE
"89",122.75232,14.25225,119,1,1675.79622641011,3351.59245282023,3.35159245282023,122.75232,14.25225,119,1,1675.79622641011,TRUE
"90",120.75231,14.00227,120,1,1094.31617809324,2188.63235618647,2.18863235618647,120.75231,14.00227,120,1,1094.31617809324,TRUE
"91",121.00231,14.00227,121,1,136.529009712503,273.058019425007,0.273058019425007,121.00231,14.00227,121,1,136.529009712503,TRUE
"92",121.25231,14.00227,122,1,9561.81685034879,19123.6337006976,19.1236337006976,121.25231,14.00227,122,1,9561.81685034879,TRUE
"93",121.50231,14.00226,123,1,39362.2172309897,78724.4344619794,78.7244344619794,121.50231,14.00226,123,1,39362.2172309897,TRUE
"94",121.75231,14.00226,124,1,22086.5253998473,44173.0507996946,44.1730507996946,121.75231,14.00226,124,1,22086.5253998473,TRUE
"95",122.50232,14.00225,125,1,9054.75567716184,18109.5113543237,18.1095113543237,122.50232,14.00225,125,1,9054.75567716184,TRUE
"96",123.00233,14.00225,127,1,13768.5281284804,27537.0562569608,27.5370562569608,123.00233,14.00225,127,1,13768.5281284804,TRUE
"97",124.25234,14.00223,128,1,16828.4688851057,33656.9377702113,33.6569377702113,124.25234,14.00223,128,1,16828.4688851057,TRUE
"98",120.2523,13.75228,129,1,37125.5751054618,74251.1502109236,74.2511502109236,120.2523,13.75228,129,1,37125.5751054618,TRUE
"99",121.25231,13.75227,130,1,9654.92652237626,19309.8530447525,19.3098530447525,121.25231,13.75227,130,1,9654.92652237626,TRUE
"100",122.25232,13.75226,131,1,4872.44099985769,9744.88199971538,9.74488199971538,122.25232,13.75226,131,1,4872.44099985769,TRUE
"101",122.50232,13.75225,132,1,11700.9523356794,23401.9046713587,23.4019046713587,122.50232,13.75225,132,1,11700.9523356794,TRUE
"102",123.00233,13.75225,133,1,14305.4519851911,28610.9039703822,28.6109039703822,123.00233,13.75225,133,1,14305.4519851911,TRUE
"103",123.50233,13.75224,134,1,9084.72741434003,18169.4548286801,18.1694548286801,123.50233,13.75224,134,1,9084.72741434003,TRUE
"104",123.75233,13.75224,135,1,3458.21420402227,6916.42840804455,6.91642840804455,123.75233,13.75224,135,1,3458.21420402227,TRUE
"105",122.00231,13.50226,138,1,19980.1256793534,39960.2513587067,39.9602513587067,122.00231,13.50226,138,1,19980.1256793534,TRUE
"106",122.50232,13.50225,139,1,24106.9520310157,48213.9040620315,48.2139040620315,122.50232,13.50225,139,1,24106.9520310157,TRUE
"107",123.50232,13.50224,141,1,1248.55071662515,2497.1014332503,2.4971014332503,123.50232,13.50224,141,1,1248.55071662515,TRUE
"108",120.7523,13.25227,142,1,2451.4566290859,4902.91325817179,4.90291325817179,120.7523,13.25227,142,1,2451.4566290859,TRUE
"109",121.2523,13.25227,144,1,1440.78365253781,2881.56730507561,2.88156730507561,121.2523,13.25227,144,1,1440.78365253781,TRUE
"110",123.50233,13.25225,146,1,5930.69287402131,11861.3857480426,11.8613857480426,123.50233,13.25225,146,1,5930.69287402131,TRUE
"111",124.00233,13.25224,148,1,20175.4656930786,40350.9313861573,40.3509313861573,124.00233,13.25224,148,1,20175.4656930786,TRUE
"112",121.0023,13.00227,149,1,229179.114551203,458358.229102407,458.358229102407,121.0023,13.00227,149,1,229179.114551203,TRUE
"113",121.2523,13.00226,150,1,730.858670640843,1461.71734128169,1.46171734128169,121.2523,13.00226,150,1,730.858670640843,TRUE
"114",123.50231,13.00225,151,1,362.842242721214,725.684485442429,0.725684485442429,123.50231,13.00225,151,1,362.842242721214,TRUE
"115",123.75232,13.00224,152,1,25805.982736982,51611.9654739639,51.6119654739639,123.75232,13.00224,152,1,25805.982736982,TRUE
